,Symbol,Exchange,Name,Months,Quandl Code
0,CONF,EUREX,CONF,HMUZ,EUREX/CONF
1,F2CR,EUREX,CER Emissions Mid December,Z,EUREX/F2CR
2,F2MX,EUREX,MDAX,HMUZ,EUREX/F2MX
3,FBTP,EUREX,Long-Term Euro-BTP,HMUZ,EUREX/FBTP
4,FBTS,EUREX,Short-Term Euro-BTP,HMUZ,EUREX/FBTS
5,FBUT,EUREX,Butter,FGHJKMNQUVXZ,EUREX/FBUT
6,FCAG,EUREX,Dow Jones-UBS Agriculture,HMUZ,EUREX/FCAG
7,FCEN,EUREX,Dow Jones-UBS Energy Index,HMUZ,EUREX/FCEN
8,FCGR,EUREX,Dow Jones-UBS Grains,HMUZ,EUREX/FCGR
9,FCIN,EUREX,Dow Jones-UBS Industrial Metals,HMUZ,EUREX/FCIN
10,FCLI,EUREX,Dow Jones-UBS Livestock,HMUZ,EUREX/FCLI
11,FCPE,EUREX,Dow Jones-UBS Petroleum,HMUZ,EUREX/FCPE
12,FCPR,EUREX,Dow Jones-UBS Precious Metals,HMUZ,EUREX/FCPR
13,FCSO,EUREX,Dow Jones-UBS Softs,HMUZ,EUREX/FCSO
14,FCXE,EUREX,Dow Jones-UBS Ex Energy Index,HMUZ,EUREX/FCXE
15,FDAX,EUREX,DAX,HMUZ,EUREX/FDAX
16,FDIV,EUREX,TecDAX,HMUZ,EUREX/FDIV
17,FEAA,EUREX,EU Aviation Allowence,Z,EUREX/FEAA
18,FEDV,EUREX,EURO STOXX Select Dividend 30 Index,HMUZ,EUREX/FEDV
19,FEO1,EUREX,1-month EONIA Index (EUREX),FGHJKMNQUVXZ,EUREX/FEO1
20,FEPP,EUREX,European Processing Potato,JMX,EUREX/FEPP
21,FERU,EUREX,Emission Reduction Units,Z,EUREX/FERU
22,FESX,EUREX,EURO STOXX 50 Index,HMUZ,EUREX/FESX
23,FEU3,EUREX,3-month EURIBOR (EUREX),HMUZ,EUREX/FEU3
24,FEUA,EUREX,EU Emission Allowence (EUREX),Z,EUREX/FEUA
25,FEXD,EUREX,EURO STOXX 50 Index Dividend,z,EUREX/FEXD
26,FEXF,EUREX,EURO STOXX 50 ex Financials Index,HMUZ,EUREX/FEXF
27,FFOX,EUREX,OMXH25 ,HMUZ,EUREX/FFOX
28,FGBL,EUREX,Euro-Bund,HMUZ,EUREX/FGBL
29,FGBM,EUREX,Euro-Bobl,HMUZ,EUREX/FGBM
30,FGBS,EUREX,Euro-Schatz,HMUZ,EUREX/FGBS
31,FGBX,EUREX,Euro-Buxl,HMUZ,EUREX/FGBX
32,FHOG,EUREX,Hogs,FGHJKMNQUVXZ,EUREX/FHOG
33,FMAS,EUREX,MSCIÃŠAC Asia Pacific ex Japan Index Futures,HMUZ,EUREX/FMAS
34,FMCL,EUREX,MSCI Chile Index,HMUZ,EUREX/FMCL
35,FMCN,EUREX,MSCI China Free Index,HMUZ,EUREX/FMCN
36,FMCO,EUREX,MSCI Columbia Index,HMUZ,EUREX/FMCO
37,FMCZ,EUREX,MSCI Czech Republic Index,HMUZ,EUREX/FMCZ
38,FMEA,EUREX,MSCI Emerging Markets Asia Index,HMUZ,EUREX/FMEA
39,FMEE,EUREX,MSCI Emerging Markets EMEA Index,HMUZ,EUREX/FMEE
40,FMEL,EUREX,MSCI Emerging Markets Latin America Index,HMUZ,EUREX/FMEL
41,FMEM,EUREX,MSCI Emerging Markets Index,HMUZ,EUREX/FMEM
42,FMEU,EUREX,MSCI Europe Index,HMUZ,EUREX/FMEU
43,FMEY,EUREX,MSCI Egypt Index,HMUZ,EUREX/FMEY
44,FMFM,EUREX,MSCI Frontier Markets Index,HMUZ,EUREX/FMFM
45,FMHU,EUREX,MSCI Hungary Index,HMUZ,EUREX/FMHU
46,FMIN,EUREX,MSCI India Index,HMUZ,EUREX/FMIN
47,FMJP,EUREX,MSCI Japan Index,HMUZ,EUREX/FMJP
48,FMMA,EUREX,MSCI Morocco Index,HMUZ,EUREX/FMMA
49,FMMX,EUREX,MSCI Mexico Index,HMUZ,EUREX/FMMX
50,FMMY,EUREX,MSCI Malaysia Index,HMUZ,EUREX/FMMY
51,FMPE,EUREX,MSCI Peru Index,HMUZ,EUREX/FMPE
52,FMPH,EUREX,MSCI Philippines Index,HMUZ,EUREX/FMPH
53,FMPL,EUREX,MSCI Poland Index,HMUZ,EUREX/FMPL
54,FMRS,EUREX,MSCI Russia Index,HMUZ,EUREX/FMRS
55,FMRU,EUREX,MSCI Russia Price Index,HMUZ,EUREX/FMRU
56,FMTH,EUREX,MSCI Thailand Index,HMUZ,EUREX/FMTH
57,FMWO,EUREX,MSCI World Index,HMUZ,EUREX/FMWO
58,FMZA,EUREX,MSCI South Africa Index,HMUZ,EUREX/FMZA
59,FOAM,EUREX,Mid-Term Euro-OAT ,HMUZ,EUREX/FOAM
60,FOAT,EUREX,Euro-OAT,HMUZ,EUREX/FOAT
61,FPIG,EUREX,Piglets,FGHJKMNQUVXZ,EUREX/FPIG
62,FRDX,EUREX,RDX USD Index,HMUZ,EUREX/FRDX
63,FSLI,EUREX,SLI Swiss Leader Index,HMUZ,EUREX/FSLI
64,FSMI,EUREX,SMI,HMUZ,EUREX/FSMI
65,FSMM,EUREX,SMI Midcap,HMUZ,EUREX/FSMM
66,FSMP,EUREX,Skimmed Milk Powder (EUREX),FGHJKMNQUVXZ,EUREX/FSMP
67,FSTX,EUREX,STOXX Europe 50 Index,HMUZ,EUREX/FSTX
68,FTDX,EUREX,DivDAX,HMUZ,EUREX/FTDX
69,FVS,EUREX,EURO STOXX 50 Volatility (VSTOXX),HMUZ,EUREX/FVS
70,FWHY,EUREX,Whey Powder,FGHJKMNQUVXZ,EUREX/FWHY
